brand,model,year,engine,fuel,color,mileage,doors,transmission,price,image
Volkswagen,Polo,2022,1.0,FLEX,CINZA,8000,4,AUTOMATICO,98000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102436/Mate.png
Hyundai,Creta,2021,1.6,FLEX,BRANCO,12000,5,AUTOMATICO,130000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103027/Chick-Hicks.png
Honda,Fit,2020,1.5,FLEX,AZUL,25000,4,AUTOMATICO,82000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Jeep,Compass,2022,2.0,DIESEL,PRETO,9000,5,AUTOMATICO,180000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103027/Chick-Hicks.png
Chevrolet,Spin,2019,1.8,FLEX,PRATA,40000,7,AUTOMATICO,70000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103027/Chick-Hicks.png
Renault,Duster,2020,1.6,FLEX,MARROM,30000,5,CVT,95000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Toyota,Etios,2018,1.3,FLEX,BRANCO,50000,4,MANUAL,52000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Peugeot,3008,2021,1.6,GASOILNA,PRETO,15000,5,AUTOMATICO,175000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Mitsubishi,ASX,2019,2.0,FLEX,VERMELHO,35000,5,AUTOMATICO,99000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103242/Ramone.png
Kia,Cerato,2020,2.0,GASOILNA,PRATA,22000,4,AUTOMATICO,95000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103242/Ramone.png
Volkswagen,Up,2018,1.0,FLEX,AZUL,45000,4,MANUAL,48000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103424/Flo.png
Nissan,Versa,2021,1.6,FLEX,PRATA,17000,4,CVT,78000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Ford,Ka,2019,1.0,FLEX,PRETO,36000,4,MANUAL,47000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103027/Chick-Hicks.png
Fiat,Cronos,2020,1.3,FLEX,BRANCO,21000,4,MANUAL,69000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102915/Mack.png
Chevrolet,Prisma,2018,1.4,FLEX,PRATA,50000,4,MANUAL,56000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102436/Mate.png
Honda,HR-V,2021,1.8,FLEX,CINZA,13000,5,AUTOMATICO,145000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103424/Flo.png
Hyundai,Tucson,2022,1.6,DIESEL,BRANCO,8000,5,AUTOMATICO,210000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103027/Chick-Hicks.png
Renault,Logan,2019,1.0,FLEX,PRATA,37000,4,MANUAL,52000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102436/Mate.png
Peugeot,2008,2020,1.6,FLEX,AZUL,27000,5,AUTOMATICO,89000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102752/Strip-Weathers.png
BMW,X1,2022,2.0,GASOILNA,BRANCO,5000,5,AUTOMATICO,270000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Audi,Q3,2021,1.4,GASOILNA,PRETO,12000,5,AUTOMATICO,240000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103424/Flo.png
Jeep,Commander,2022,2.0,DIESEL,AZUL,7000,7,AUTOMATICO,260000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Toyota,SW4,2020,2.8,DIESEL,PRETO,35000,7,AUTOMATICO,320000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102915/Mack.png
Chevrolet,Montana,2021,1.4,FLEX,BRANCO,10000,2,MANUAL,72000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103027/Chick-Hicks.png
Volkswagen,Ameo,2018,1.5,DIESEL,BRANCO,60000,4,MANUAL,56000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103424/Flo.png
Mitsubishi,L200,2020,2.4,DIESEL,PRATA,28000,4,AUTOMATICO,195000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Fiat,Strada,2021,1.3,FLEX,VERMELHO,15000,2,MANUAL,88000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Ford,Ranger,2019,3.2,DIESEL,AZUL,40000,4,AUTOMATICO,175000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Renault,Master,2020,2.3,DIESEL,BRANCO,30000,3,MANUAL,190000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103548/doc-hudson.png
Volkswagen,Saveiro,2019,1.6,FLEX,BRANCO,35000,2,MANUAL,65000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102915/Mack.png
Honda,WR-V,2020,1.5,FLEX,LARANJA,18000,5,AUTOMATICO,87000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103548/doc-hudson.png
Hyundai,ix35,2018,2.0,FLEX,PRATA,45000,5,AUTOMATICO,95000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103242/Ramone.png
Peugeot,408,2019,1.6,GASOILNA,PRETO,33000,4,AUTOMATICO,80000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Nissan,Frontier,2021,2.3,DIESEL,BRANCO,12000,4,AUTOMATICO,220000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Toyota,RAV4,2022,2.5,Híbrido,Verde,5000,5,AUTOMATICO,260000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103242/Ramone.png
Volkswagen,Jetta,2020,1.4,GASOILNA,PRATA,24000,4,AUTOMATICO,135000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102752/Strip-Weathers.png
Ford,Maverick,2022,2.0,GASOILNA,AZUL,8000,4,AUTOMATICO,200000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Fiat,Toro,2021,2.0,DIESEL,PRETO,10000,4,AUTOMATICO,170000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Chevrolet,S10,2020,2.8,DIESEL,PRATA,30000,4,AUTOMATICO,190000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Honda,Accord,2019,2.0,GASOILNA,PRETO,27000,4,AUTOMATICO,210000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103242/Ramone.png
Hyundai,Elantra,2020,2.0,GASOILNA,VERMELHO,15000,4,AUTOMATICO,95000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102752/Strip-Weathers.png
Peugeot,Partner,2018,1.6,DIESEL,BRANCO,55000,4,MANUAL,60000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103027/Chick-Hicks.png
Mitsubishi,Pajero,2020,3.2,DIESEL,PRETO,20000,7,AUTOMATICO,300000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102915/Mack.png
Kia,Sorento,2022,2.5,GASOILNA,BRANCO,5000,7,AUTOMATICO,250000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
BMW,530e,2021,2.0,Híbrido,AZUL,8000,4,AUTOMATICO,360000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Audi,A5,2020,2.0,GASOILNA,PRATA,17000,4,AUTOMATICO,280000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
Jeep,Willys,2022,2.0,GASOILNA,Verde,2000,2,MANUAL,150000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102752/Strip-Weathers.png
Toyota,Land Cruiser,2020,4.5,DIESEL,Bege,30000,5,AUTOMATICO,480000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103242/Ramone.png
Ford,Edge,2019,2.0,GASOILNA,PRETO,28000,5,AUTOMATICO,165000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103242/Ramone.png
Volkswagen,Tiguan,2021,2.0,GASOILNA,BRANCO,11000,7,AUTOMATICO,220000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Fiat,Doblo,2018,1.8,FLEX,PRATA,40000,7,MANUAL,75000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103242/Ramone.png
Chevrolet,Cobalt,2019,1.8,FLEX,PRETO,32000,4,AUTOMATICO,70000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Honda,City,2020,1.5,FLEX,BRANCO,18000,4,AUTOMATICO,85000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Hyundai,Veloster,2018,1.6,GASOILNA,Amarelo,29000,4,AUTOMATICO,72000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Peugeot,207,2017,1.4,FLEX,PRETO,50000,4,MANUAL,40000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103027/Chick-Hicks.png
Nissan,March,2020,1.0,FLEX,VERMELHO,15000,4,MANUAL,49000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Toyota,Hilux,2021,2.8,DIESEL,PRATA,12000,4,AUTOMATICO,230000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103424/Flo.png
Volkswagen,Passat,2019,2.0,GASOILNA,CINZA,20000,4,AUTOMATICO,190000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102915/Mack.png
Fiat,Mobi,2021,1.0,FLEX,BRANCO,10000,4,MANUAL,52000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102436/Mate.png
Chevrolet,Astra,2018,2.0,FLEX,PRETO,45000,4,MANUAL,45000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102915/Mack.png
Chevrolet,Onix,2018,2.0,FLEX,PRETO,45000,4,MANUAL,85000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103027/Chick-Hicks.png
Chevrolet,Tracker,2022,2.0,FLEX,PRETO,45000,4,MANUAL,145000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103027/Chick-Hicks.png
Chevrolet,Agile,2014,1.4,FLEX,PRETO,45000,4,MANUAL,45000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102436/Mate.png
Chevrolet,Cruze,2018,2.0,FLEX,PRETO,45000,4,AUTOMATICO,145000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Chevrolet,Prisma,2022,2.0,FLEX,PRETO,45000,4,AUTOMATICO,145000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102436/Mate.png
Chevrolet,Trailblazer,2018,2.8,DIESEL,PRETO,45000,4,AUTOMATICO,245000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103424/Flo.png
Fiat,500,2011,1.0,FLEX,BRANCO,45123,4,MANUAL,65000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103424/Flo.png
Jeep,Commander,2025,2.0,FLEX,BRANCO,0,4,AUTOMATICO,245000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102436/Mate.png
Jeep,Renegade,2025,2.0,FLEX,BRANCO,0,4,AUTOMATICO,145000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103242/Ramone.png
Jeep,Compass,2025,2.0,FLEX,BRANCO,0,4,AUTOMATICO,205000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102915/Mack.png
Jeep,Compass,2025,2.0,FLEX,PRETO,0,4,AUTOMATICO,205000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102229/relampago-mcqueen.png
Toyota,Yaris,2024,1.8,FLEX,BRANCO,12000,4,AUTOMATICO,85000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102915/Mack.png
Volkswagen,Bora,2015,2.0,FLEX,BRANCO,100456,4,AUTOMATICO,45000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14103027/Chick-Hicks.png
Toyota,Corolla,2005,2.0,GASOILNA,BRANCO,201000,4,AUTOMATICO,35000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102436/Mate.png
Toyota,SW4,2025,2.8,DIESEL,PRATA,0,4,AUTOMATICO,345000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102752/Strip-Weathers.png
BYD,Dolphin,2025,1.0,ELETRICO,BRANCO,0,4,AUTOMATICO,95000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
GWM,Haval,2025,1.0,ELETRICO,PRATA,0,4,AUTOMATICO,195000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102548/Sally.png
GWM,Ora,2025,1.0,ELETRICO,BRANCO,0,4,AUTOMATICO,75000,https://s3.amazonaws.com/blog.dentrodahistoria.com.br/wp-content/uploads/2022/09/14102915/Mack.png
